benchmark,model,signal,coverage,accepted_tasks,selective_failure_rate,selective_accuracy
ExecRepoBench-120,qwen3-coder-plus,generation,0.3,36,0.2222222222222222,0.7777777777777778
ExecRepoBench-120,qwen3-coder-plus,generation,0.5,60,0.23333333333333334,0.7666666666666666
ExecRepoBench-120,qwen3-coder-plus,generation,0.7,84,0.2619047619047619,0.7380952380952381
ExecRepoBench-120,qwen3-coder-plus,generation,0.9,108,0.37037037037037035,0.6296296296296297
ExecRepoBench-120,qwen3-coder-plus,generation,1.0,120,0.4,0.6
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.1,12,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.2,24,0.3333333333333333,0.6666666666666667
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.3,36,0.3055555555555556,0.6944444444444444
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.5,60,0.3333333333333333,0.6666666666666667
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.7,84,0.32142857142857145,0.6785714285714286
ExecRepoBench-120,qwen3-coder-plus,aggregate,0.9,108,0.37037037037037035,0.6296296296296297
ExecRepoBench-120,qwen3-coder-plus,aggregate,1.0,120,0.4,0.6
