model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
claude-sonnet-5,random_deferral,Random,0.1,0.75,5,120,12.0,0.1,True,0.7633333333333333,0.013540064007726605,0.75,0.7833333333333333,0.7425925925925926,0.013608276348795443,0.7222222222222222,0.7592592592592593,0.9,0.0,0.9,0.9,0.2574074074074074,0.013608276348795445,0.24074074074074073,0.2777777777777778,0.1032258064516129,0.04740947889257764,0.03225806451612903,0.16129032258064516,0.26666666666666666,0.12247448713915891,0.08333333333333333,0.4166666666666667,0.7333333333333333,0.1224744871391589,0.5833333333333334,0.9166666666666666,0.21666666666666667,0.13540064007726602,0.08333333333333333,0.4166666666666667,7.08,4.198285364288616,2.4,12.0
claude-sonnet-5,random_deferral,Random,0.2,0.75,5,120,24.0,0.2,True,0.78,0.01354006400772662,0.7583333333333333,0.8,0.7458333333333333,0.016925080009658266,0.7291666666666666,0.7708333333333334,0.8,0.0,0.8,0.8,0.25416666666666665,0.016925080009658245,0.22916666666666666,0.2708333333333333,0.2129032258064516,0.05241315099765136,0.16129032258064516,0.2903225806451613,0.275,0.067700320038633,0.20833333333333334,0.375,0.725,0.067700320038633,0.625,0.7916666666666666,0.19166666666666668,0.06770032003863301,0.08333333333333333,0.2916666666666667,6.2057142857142855,3.009340561027432,3.4285714285714284,12.0
claude-sonnet-5,random_deferral,Random,0.5,0.75,5,120,60.0,0.5,True,0.8466666666666667,0.019436506316151014,0.825,0.875,0.77,0.02867441755680876,0.7166666666666667,0.8,0.5,0.0,0.5,0.5,0.23,0.02867441755680875,0.2,0.2833333333333333,0.5548387096774193,0.055498872690597605,0.45161290322580644,0.6129032258064516,0.2866666666666667,0.02867441755680875,0.23333333333333334,0.31666666666666665,0.7133333333333334,0.02867441755680878,0.6833333333333333,0.7666666666666667,0.21,0.03887301263230201,0.16666666666666666,0.26666666666666666,4.9302197802197805,0.9161098930098522,3.75,6.0
claude-sonnet-5,test_failure_deferral,Pre-repair test failure,0.1,0.75,5,120,12.0,0.1,True,0.8,0.009128709291752777,0.7833333333333333,0.8083333333333333,0.7962962962962963,0.0,0.7962962962962963,0.7962962962962963,0.9,0.0,0.9,0.9,0.2037037037037037,0.0,0.2037037037037037,0.2037037037037037,0.2903225806451613,0.0,0.2903225806451613,0.2903225806451613,0.75,0.0,0.75,0.75,0.25,0.0,0.25,0.25,0.5833333333333334,0.09128709291752767,0.4166666666666667,0.6666666666666666,1.7657142857142856,0.3313053958300746,1.5,2.4
claude-sonnet-5,test_failure_deferral,Pre-repair test failure,0.2,0.75,5,120,24.0,0.2,True,0.855,0.011303883305208763,0.8333333333333334,0.8666666666666667,0.8541666666666666,0.0,0.8541666666666666,0.8541666666666666,0.8,0.0,0.8,0.8,0.14583333333333334,0.0,0.14583333333333334,0.14583333333333334,0.5483870967741935,0.0,0.5483870967741935,0.5483870967741935,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.5666666666666667,0.05651941652604391,0.4583333333333333,0.625,1.7849350649350648,0.20331806557751778,1.6,2.1818181818181817
claude-sonnet-5,test_failure_deferral,Pre-repair test failure,0.5,0.75,5,120,60.0,0.5,True,0.9333333333333333,0.022360679774997883,0.8916666666666667,0.9583333333333334,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.48333333333333334,0.0,0.48333333333333334,0.48333333333333334,0.38333333333333336,0.04472135954999581,0.3,0.43333333333333335,2.649944258639911,0.35519713801530123,2.3076923076923075,3.3333333333333335
claude-sonnet-5,aggregate_uncertainty_deferral,Aggregate uncertainty,0.1,0.75,5,120,12.0,0.1,True,0.7733333333333333,0.006236095644623214,0.7666666666666667,0.7833333333333333,0.7592592592592593,0.0,0.7592592592592593,0.7592592592592593,0.9,0.0,0.9,0.9,0.24074074074074073,0.0,0.24074074074074073,0.24074074074074073,0.16129032258064516,0.0,0.16129032258064516,0.16129032258064516,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.31666666666666665,0.06236095644623236,0.25,0.4166666666666667,3.28,0.6273754856543249,2.4,4.0
claude-sonnet-5,aggregate_uncertainty_deferral,Aggregate uncertainty,0.2,0.75,5,120,24.0,0.2,True,0.795,0.011303883305208793,0.7833333333333333,0.8083333333333333,0.7708333333333334,0.0,0.7708333333333334,0.7708333333333334,0.8,0.0,0.8,0.8,0.22916666666666666,0.0,0.22916666666666666,0.22916666666666666,0.2903225806451613,0.0,0.2903225806451613,0.2903225806451613,0.375,0.0,0.375,0.375,0.625,0.0,0.625,0.625,0.26666666666666666,0.05651941652604389,0.20833333333333334,0.3333333333333333,3.92,0.8059776671843953,3.0,4.8
claude-sonnet-5,aggregate_uncertainty_deferral,Aggregate uncertainty,0.5,0.75,5,120,60.0,0.5,True,0.9016666666666666,0.01527525231651945,0.875,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.5,0.0,0.5,0.5,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.8387096774193549,0.0,0.8387096774193549,0.8387096774193549,0.43333333333333335,0.0,0.43333333333333335,0.43333333333333335,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.32,0.030550504633038926,0.26666666666666666,0.35,3.156015037593985,0.32602894429735063,2.857142857142857,3.75
claude-sonnet-5,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.1,0.75,5,120,12.0,0.1,True,0.7716666666666667,0.006666666666666643,0.7666666666666667,0.7833333333333333,0.7685185185185185,0.0,0.7685185185185185,0.7685185185185185,0.9,0.0,0.9,0.9,0.23148148148148148,0.0,0.23148148148148148,0.23148148148148148,0.1935483870967742,0.0,0.1935483870967742,0.1935483870967742,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3,0.06666666666666667,0.25,0.4166666666666667,3.48,0.664529909033446,2.4,4.0
